						algo_2														algo_3														algo_4
Name      	Obj    	Time   	BDCs   	STCs   	Gap    	Nodes  	~~     	Obj    	Time   	BDCs   	STCs   	Gap    	Nodes  	~~     	Obj    	Time   	BDCs   	STCs   	Gap    	Nodes  	~~     
n_6_e_1   	-      	-      	-      	-      	-      	-      	~~     79.97  	0.02   	10     	6      	0.0    	17     	~~     79.97  	0.173  	10     	6      	0.0    	16     	~~     
n_11_h_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_h_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_h_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_h_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_h_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_11_h_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_e_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_e_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_e_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_e_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_e_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_e_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_e_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_e_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_e_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_e_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_m_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_m_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_m_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_m_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_m_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_m_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_m_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_m_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_m_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_m_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_h_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_h_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_h_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_h_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_h_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_h_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_h_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_h_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_h_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_12_h_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_e_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_e_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_e_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_e_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_e_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_e_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_e_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_e_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_e_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_e_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_m_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_m_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_m_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_m_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_m_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_m_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_m_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_m_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_m_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_m_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_h_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_h_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_h_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_h_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_h_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_h_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_h_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_h_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_h_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_13_h_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_e_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_e_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_e_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_e_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_e_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_e_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_e_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_e_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_e_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_e_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_m_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_m_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_m_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_m_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_m_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_m_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_m_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_m_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_m_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_m_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_h_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_h_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_h_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_h_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_h_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_h_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_h_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_h_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_h_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_14_h_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_e_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_e_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_e_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_e_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_e_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_e_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_e_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_e_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_e_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_e_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_m_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_m_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_m_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_m_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_m_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_m_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_m_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_m_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_m_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_m_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_h_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_h_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_h_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_h_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_h_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_h_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_h_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_h_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_h_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_15_h_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_e_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_e_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_e_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_e_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_e_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_e_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_e_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_e_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_e_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_e_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_m_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_m_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_m_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_m_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_m_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_m_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_m_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_m_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_m_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_m_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_h_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_h_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_h_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_h_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_h_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_h_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_h_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_h_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_h_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_16_h_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_e_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_e_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_e_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_e_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_e_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_e_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_e_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_e_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_e_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_e_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_m_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_m_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_m_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_m_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_m_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_m_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_m_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_m_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_m_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_m_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_h_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_h_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_h_3  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_h_4  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_h_5  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_h_6  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_h_7  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_h_8  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_h_9  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_17_h_10 	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_e_1  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
n_18_e_2  	-      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     -      	-      	-      	-      	-      	-      	~~     
